TT_LOT_NO,SCHEDULE,DUE_HOUR,RECIPENAME,PROD_TIME,
LOT_V,LOT_V0017,96,REC0008,8,
LOT_V,LOT_V0018,96,REC0008,8,
LOT_V,LOT_V0019,96,REC0008,8,
LOT_V,LOT_V0023,96,REC0008,8,
LOT_V,LOT_V0025,96,REC0008,8.2,
LOT_W,LOT_W0001,72,REC0009,16.85,
LOT_W,LOT_W0002,72,REC0009,16.85,
LOT_W,LOT_W0003,72,REC0009,16.85,
LOT_X,LOT_X0005,120,REC0010,4.45,
LOT_X,LOT_X0006,120,REC0010,4.45,
LOT_X,LOT_X0008,120,REC0010,4.45,
LOT_Y,LOT_Y0003,192,REC0010,4.55,
LOT_Y,LOT_Y0004,192,REC0010,4.55,
LOT_Y,LOT_Y0005,192,REC0010,4.55,
LOT_Y,LOT_Y0010,192,REC0010,4.55,
LOT_Y,LOT_Y0011,192,REC0010,4.55,
LOT_Y,LOT_Y0012,192,REC0010,4.55,
LOT_Y,LOT_Y0014,192,REC0010,4.55,
LOT_Y,LOT_Y0016,192,REC0010,4.55,
LOT_Y,LOT_Y0017,192,REC0010,4.55,
LOT_Y,LOT_Y0027,192,REC0010,4.55,
LOT_Y,LOT_Y0031,192,REC0010,4.55,
LOT_Y,LOT_Y0034,192,REC0010,4.55,
LOT_Y,LOT_Y0036,192,REC0010,4.55,
LOT_Y,LOT_Y0039,192,REC0010,4.55,
LOT_Y,LOT_Y0041,192,REC0010,4.55,
LOT_Y,LOT_Y0044,192,REC0010,4.55,
LOT_Y,LOT_Y0045,192,REC0010,4.55,
LOT_Y,LOT_Y0053,192,REC0010,4.55,
LOT_Y,LOT_Y0054,192,REC0010,4.55,
LOT_Y,LOT_Y0056,192,REC0010,4.55,
LOT_Y,LOT_Y0059,192,REC0010,4.55,
LOT_Y,LOT_Y0066,192,REC0010,4.55,
LOT_Y,LOT_Y0068,192,REC0010,4.55,
LOT_Y,LOT_Y0073,192,REC0010,4.55,
LOT_Y,LOT_Y0074,192,REC0010,4.55,
LOT_Y,LOT_Y0079,192,REC0010,4.55,
LOT_Y,LOT_Y0081,192,REC0010,4.55,
LOT_Z,LOT_Z0004,72,REC0010,4.15,
