TT_LOT_NO,SCHEDULE,DUE_HOUR,RECIPENAME,PROD_TIME,
LOT_DY,LOT_DY0002,144,REC0003,9,
LOT_DY,LOT_DY0005,144,REC0003,9,
LOT_DZ,LOT_DZ0001,168,REC0003,8.85,
LOT_DZ,LOT_DZ0004,168,REC0003,8.85,
LOT_E,LOT_E0001,144,REC0002,6.8,
LOT_E,LOT_E0004,144,REC0002,6.8,
LOT_E,LOT_E0005,144,REC0002,6.8,
LOT_E,LOT_E0007,144,REC0002,6.8,
LOT_E,LOT_E0009,144,REC0002,6.8,
LOT_E,LOT_E0010,144,REC0002,6.8,
LOT_E,LOT_E0014,144,REC0002,6.8,
LOT_E,LOT_E0016,144,REC0002,6.8,
LOT_E,LOT_E0017,144,REC0002,6.8,
LOT_E,LOT_E0018,144,REC0002,6.8,
LOT_E,LOT_E0020,144,REC0002,6.8,
LOT_E,LOT_E0026,144,REC0002,6.8,
LOT_E,LOT_E0027,144,REC0002,6.8,
LOT_E,LOT_E0029,144,REC0002,6.8,
LOT_E,LOT_E0031,144,REC0002,6.8,
LOT_E,LOT_E0032,144,REC0002,6.8,
LOT_EA,LOT_EA0001,120,REC0005,12.4,
LOT_EB,LOT_EB0001,24,REC0019,14.7,
LOT_EB,LOT_EB0002,24,REC0019,14.7,
LOT_EB,LOT_EB0003,24,REC0019,14.7,
LOT_EC,LOT_EC0002,96,REC0012,11.5,
LOT_EC,LOT_EC0004,96,REC0012,11.5,
LOT_EC,LOT_EC0005,96,REC0012,11.5,
LOT_EC,LOT_EC0007,96,REC0012,11.5,
LOT_ED,LOT_ED0001,48,REC0016,9.95,
LOT_ED,LOT_ED0005,48,REC0016,9.95,
LOT_ED,LOT_ED0008,48,REC0016,9.95,
LOT_ED,LOT_ED0009,48,REC0016,9.95,
LOT_ED,LOT_ED0010,48,REC0016,9.95,
LOT_EE,LOT_EE0001,168,REC0003,11.4,
LOT_EE,LOT_EE0003,168,REC0003,11.4,
LOT_EE,LOT_EE0005,168,REC0003,11.4,
LOT_EE,LOT_EE0006,168,REC0003,11.4,
LOT_EE,LOT_EE0008,168,REC0003,11.4,
LOT_EF,LOT_EF0001,120,REC0005,12.3,
LOT_EG,LOT_EG0002,144,REC0014,18.3,
LOT_EG,LOT_EG0004,144,REC0014,18.3,
LOT_EG,LOT_EG0005,144,REC0014,18.3,
LOT_EG,LOT_EG0010,144,REC0014,18.3,
LOT_EG,LOT_EG0016,144,REC0014,18.3,
LOT_EH,LOT_EH0007,168,REC0014,19.35,
LOT_EH,LOT_EH0010,168,REC0014,19.35,
LOT_EH,LOT_EH0011,168,REC0014,19.35,
LOT_EI,LOT_EI0001,48,REC0015,19.4,
LOT_EI,LOT_EI0006,48,REC0015,19.4,
LOT_EJ,LOT_EJ0005,48,REC0010,13.45,
LOT_EK,LOT_EK0003,48,REC0010,13.25,
LOT_EL,LOT_EL0002,48,REC0010,14.15,
LOT_EL,LOT_EL0004,48,REC0010,14.15,
LOT_EM,LOT_EM0006,48,REC0010,13.65,
LOT_EM,LOT_EM0007,48,REC0010,13.65,
LOT_EN,LOT_EN0003,72,REC0010,13.4,
LOT_EO,LOT_EO0001,120,REC0005,12.3,
LOT_EP,LOT_EP0001,120,REC0005,12.3,
